planeableitem
Id,Name,Parent,Description,Priority,ItemType
1,Overview,,,Must,view
2,Interfaces,,,Must,view
3,Day-Ahead market,,,Must,view
4,E-Program forwarding,,,Must,view
5,Inbalance Market,,,Must,view
6,Schaalbaarheid,,,Must,view
7,Testing,,,Must,view
8,Webinterface,,,Must,view
9,HTTP + HTML,,,Must,functionpoint
10,MQTT,,,Must,functionpoint
11,SFTP,,,Must,functionpoint
12,CPS + CSV,,,Must,functionpoint
13,HTTP + XML,,,Must,functionpoint
14,SMTP,,,Must,functionpoint
15,Concentrated Bid Curves,,,Must,functionpoint
16,Proposed Bid Curve,,,Must,functionpoint
17,Optimized Bid Curve,,,Must,functionpoint
18,Automatic Authorization,,The manager can decide to allow automatic authorization of the spot limit orders.,Must,functionpoint
19,Export of spot limit order,,,Must,functionpoint
20,Bid Curve upload,,,Must,functionpoint
21,Manual Authorization,,,Must,functionpoint
22,Spot Order Review,,,Must,functionpoint
23,Aggregated Bid Curve,,,Must,functionpoint
24,E-program upload,,,Must,functionpoint
25,Import of Settlement,,,Must,functionpoint
26,Accorded Settlement,,,Must,functionpoint
27,Generated E-Program,,,Must,functionpoint
28,Validation of Settlement,,,Must,functionpoint
29,Review of Settlement,,,Must,functionpoint
30,Adjustment of Settlement,,,Must,functionpoint
31,Review of Settlement,,,Must,functionpoint
32,Adjustment of Settlement,,,Must,functionpoint
33,Validation of Settlement,,,Must,functionpoint
34,Review E-program,,,Must,functionpoint
35,Modify E-program,,,Must,functionpoint
36,Archive E-program,,,Must,functionpoint
37,Archive Settlement,,,Must,functionpoint
38,Archive spot limit order,,,Must,functionpoint
39,Feedback of Bid Curve,,,Must,functionpoint
40,Archive Bid Curves,,,Must,functionpoint
41,Inbalance prices,,,Must,functionpoint
42,Inbalance Update,,,Must,functionpoint
43,Target Bid Curve update,,,Must,functionpoint
44,Target Bid Curve,,,Must,functionpoint
45,Generate Events,,,Must,functionpoint
46,HTTPS + JSON,,,Must,functionpoint
47,HTTPS + HTML,,,Must,functionpoint
48,HTTPS + JSON,,,Must,functionpoint
49,demo,,,Must,functionpoint
50,3.3.1 TUS Continuous,,,Must,requirement
51,3.3.1.1 Retrieve PowerMatcher historic bid curves (green area),50,,Must,requirement
52,3311A,51,"The historic bid curves are extracted from PowerMatcher, unclouded by the trading objective agent.",Must,requirement
53,3311B,51,The internal PowerMatcher price is extracted and stored,Must,requirement
54,3311C,51,TUS is capable of communicating with PowerMatcher on physically separated servers or directly,Must,requirement
55,3311D,51,Show connection status PowerMatcher on Status Dashboard,Should,requirement
56,3311E,51,Visual feedback of last received bid curve on Status Dashboard,Must,requirement
57,3311F,51,The time interval for significance checks in the Auctioneer is tunable (referred to as price update parameter in Figure 4),Must,requirement
58,3311G,51,The operator can manually (batch) import and store historic bid curves,Must,requirement
59,3311H,51,"Logging of received bid curves arrival time, corruption, and errors",Must,requirement
60,3311I,51,The archive rate of historic bid curves from the PM is tunable,Must,requirement
61,3311J,51,Variable resolution data historic bid curves are archived,Must,requirement
62,3311K,51,The historic bid curves are available through an API,Must,requirement
63,3.3.1.2 Construct APX spot limit orders,50,,Must,requirement
64,3312A,63,The algorithm creates a weighted average bid curve that represents the average bid curve of the cluster over an hour (and is not affected by bid curves supplied by the objective agent),Must,requirement
65,3312B,63,The algorithm should be able to create an average weighted bid curve over multiple variable days for each hour,Must,requirement
66,3312C,63,The algorithm should be able to add varying weights to different days as set by the operator,Must,requirement
67,3312D,63,"All bid curves are presented in units kWh and Euro/kWh but with 2 decimal significance (the orders are send in MWh or Euro/MWh, see Send APX Limit Orders)",Must,requirement
68,3312E,63,The algorithm creates 24 weighted average bid curves for every hour of the next day,Must,requirement
69,3312F,63,These 24 bid curves are archived,Must,requirement
70,3312G,63,The bid curves can be manipulated by a configurable ‘offset’ parameter,Should,requirement
71,3312H,63,The bid curves can be manipulated by a configurable ‘cutoff’ parameter,Should,requirement
72,3312I,63,The operator can manually change (with the mouse) the set points that define the bid curve,Should,requirement
73,3312J,63,The algorithm has interpolation capability to calculate missing values,Must,requirement
74,3312K,63,The algorithm can easily be updated to a new version,Must,requirement
75,3312L,63,"The algorithm calculates limit orders from 24 weighted average bid curves for 24 hours

*If the bid curve has no intersection with the x axis, TUS should create a limit order with ‘infinite’ price (infinite means the maximum allowed price as dictated by APX)*",Must,requirement
76,3312M,63,"The algorithm translates a bid curve to a configurable amount of limit orders (max = 100 points, step size = 0.1 MWh)",Must,requirement
77,3312N,63,"In the future TUS is easily extensible with different, more intelligent algorithms, the admin or operator can choose between different algorithms to construct the APX bid curves.",Should,requirement
78,3312O,63,The API can send historic bid curves and can receive optimized bid curves,Should,requirement
79,3312P,63,External (optimized) APX bid curves can be manually imported and loaded into TUS,Should,requirement
80,3312Q,63,TUS provides an API for authorized applications to retrieve (selective) data from the database.,Should,requirement
81,3312R,63,API calls are logged,Should,requirement
